district_id,state,state_abbr,district_num,description,lat ,long, coordinates,return_address,ra_city,ra_state,ra_zip,why_this_district,display_name,url_election_info,url_wikipedia,url_ballotpedia,url_swingleft
AZ02,Arizona,AZ,02,"This district is located in the southeastern corner of the state, including most of the city Tucson.",32.24,-110.86,"32.24,-110.86",1517 N Wilmot Rd #121,Tucson,AZ,85712,AZ-02 is one of 25 Republican-held U.S. House districts that Hillary Clinton won in the 2016 presidential election. Clinton beat Trump by 4.9%. Sending letters to this district also helps increase turnout for a crucial Senate race.,Arizona's 2nd congressional district,https://voter.azsos.gov/VoterView/PollingPlaceSearch.do,https://en.wikipedia.org/wiki/Arizona%27s_2nd_congressional_district,"https://ballotpedia.org/Arizona%27s_2nd_Congressional_District_election,_2018",https://swingleft.org/district/AZ-02
TX23,Texas,TX,23,This district stretches across a large portion of southwestern Texas.,31.09,-104.07,"31.09,-104.07",224 W Campbell Rd #203,Richardson,TX,75080,"In 2016, a Republican won TX23 by a mere 3,000 votes, while district voters chose Hillary Clinton over Donald Trump in the presidential election by 3.4%. The Democratic candidate is an Air Force veteran and the daughter of a first-generation immigrant. By sending letters to TX-23, you're also helping increase turnout for a crucial Senate race.",Texas's 23rd congressional district,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,https://en.wikipedia.org/wiki/Texas%27s_23rd_congressional_district,"https://ballotpedia.org/Texas%27_23rd_Congressional_District_election,_2018",https://swingleft.org/district/TX-23
MN02,Minnesota,MN,02,This district include the southern parts of the Minneapolis—St. Paul metropolitan area. ,44.73,-93.18,"44.73,-93.18",7635 W 148th St #104,Apple Valley,MN,55124,"The incumbent Republican won the last election by only 6,655 votes. The Democratic challenger is a former journalist and healthcare company manager. An August 2018 poll showed the Democratic candidate leading by 1% (with 9% of voters still undecided).",Minnesota's 2nd congressional district,https://pollfinder.sos.state.mn.us/,https://en.wikipedia.org/wiki/Minnesota%27s_2nd_congressional_district,"https://ballotpedia.org/Minnesota%27s_2nd_Congressional_District_election,_2018",https://swingleft.org/district/MN-02
FL27,Florida,FL,27,This district is located in deep South Florida. It includes large parts of Miami.,25.68,-80.32,"25.68,-80.32",7742 N Kendall Dr #323,Kendall,FL,33156,"The incumbent Republican in FL-27 is retiring, making the seat highly flippable. In the 2016 presidential election, the district supported Hillary Clinton by 20 points, the highest margin for any Republican-held district. In 2018 the open seat race will pit a former U.S. Health and Human Services Secretary (D) against a Fox News contributor (R).",Florida's 27th congressional district,https://registration.elections.myflorida.com/CheckVoterStatus,https://en.wikipedia.org/wiki/Florida%27s_27th_congressional_district,"https://ballotpedia.org/Florida%27s_27th_Congressional_District_election,_2018",https://swingleft.org/district/FL-27
PA10,Pennsylvania,PA,10,"This district is in the south-central region of PA, including the cities of Harrisburg and York. ",41.24,-76.96,"41.24,-76.96",1784 East 3rd St #162,Williamsport,PA,17701,"The boundaries of Pennsylvania's 10th district were recently redrawn after the Supreme Court of Pennsylvania ruled the previous map constituted an illegal partisan gerrymander. As a result, the incumbent Republican appears even more vulnerable. The Democratic challenger is a pastor and former army officer.",Pennsylvania's 10th congressional district,https://www.pavoterservices.pa.gov/Pages/PollingPlaceInfo.aspx,https://en.wikipedia.org/wiki/Pennsylvania%27s_10th_congressional_district,"https://ballotpedia.org/Pennsylvania%27s_10th_Congressional_District_election,_2018",https://swingleft.org/district/PA-10
OH12,Ohio,OH,12,"This district is in the central part of Ohio, including the communities north and east of Columbus.",40.06,-83.04,"40.06,-83.04",829 Bethel Rd #137,Columbus,OH,43214,"The special election held on August 7, 2018 was extremely close, with the Democratic candidate losing by less than one percentage point. Vote Forward volunteers sent more than 4000 letters to unlikely voters in OH-12 in early August, boosting turnout by more than 1.4 percentage points. OH-12 came very close to flipping Blue in August. We can help finish the job in November!",Ohio's 12th congressional district,https://www.sos.state.oh.us/elections/voters/toolkit/polling-location/,https://en.wikipedia.org/wiki/Ohio%27s_12th_congressional_district,"https://ballotpedia.org/Ohio%27s_12th_Congressional_District_election,_2018",
GA06,Georgia,GA,06,This district in Georgia includes suburbs north of Atlanta.,33.83,-84.38,"33.83,-84.38",2870 Peachtree Rd #172,Atlanta,GA,30305,"The House Republican won the 2017 special election runoff by only 9,702 votes (3.8%). The Democratic challenger lost her son to gun violence and was moved to run for Congress after the Parkland shootings. An August 2018 poll found the Democratic challenger to be closing to within 2 percentage points of the incumbent Republican. By sending letters to GA-06, you're also helping to increase turnout for an important gubernatorial race.",Georgia's 6th congressional district,https://www.mvp.sos.ga.gov/MVP/mvp.do,https://en.wikipedia.org/wiki/Georgia%27s_6th_congressional_district,"https://ballotpedia.org/Georgia%27s_6th_Congressional_District_election,_2018",https://swingleft.org/district/GA-06
CA10,California,CA,10,"This California district is in the northern San Joaquin Valley, including the city of Modesto.",37.78,-121.22,"37.78,-121.22",1169 S Main St #331,Manteca,CA,95337,"The Republican candidate won the last election by just 8200 votes, and voters in CA10 chose Clinton over Trump in the 2016 Presidential election by 3%. CA-10 is expected to be among the House's most competitive elections in 2018. The district has voted solidly Democratic in presidential, senate, and gubernatorial races since 2008, showing a solid appetite to support blue candidates. Former President Barack Obama has backed and rallied for the the Democratic challenger in the district.",California's 10th congressional district,https://www.sos.ca.gov/elections/polling-place/,https://en.wikipedia.org/wiki/California%27s_10th_congressional_district,"https://ballotpedia.org/California%27s_10th_Congressional_District_election,_2018",https://swingleft.org/district/CA-10
TX32,Texas,TX,32,"This district includes the communities north and east of Dallas, TX, including the city of Garland.",32.90,-96.77,"32.9,-96.77",224 W Campbell Rd #203,Richardson,TX,75080,"TX-32 is one of 25 Republican-held U.S. House districts that Hillary Clinton won in the 2016 presidential election. Clinton beat Donald Trump here by 1.9%. The Democratic candidate is a civil rights attorney and former NFL linebacker. By sending letters to TX-32, you're also helping increase turnout for a crucial Senate race.",Texas's 32nd congressional district,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,https://en.wikipedia.org/wiki/Texas%27s_32nd_congressional_district,"https://ballotpedia.org/Texas%27_32nd_Congressional_District_election,_2018",https://swingleft.org/district/TX-32
KS03,Kansas,KS,03,This district is located in eastern Kansas and includes the Kansas City metropolitan area.,38.88,-94.83,"38.88,-94.83",119 N Parker St #184,Olathe,KS,66061,"Hillary Clinton beat Donald Trump in KS-03 by 1.2% in the 2016 presidential election, and the district is expected to be among the House's most competitive elections in 2018. The Democratic candidate was a White House fellow under President Obama and legal advocate for Native American communities.",Kansas's 3rd congressional district,https://myvoteinfo.voteks.org/VoterView/PollingPlaceSearch.do,https://en.wikipedia.org/wiki/Kansas%27s_3rd_congressional_district,"https://ballotpedia.org/Kansas%27_3rd_Congressional_District_election,_2018",https://swingleft.org/district/KS-03
CA48,California,CA,48,"This district is located in Orange County in Southern California, centered on Huntington Beach.",33.61,-117.89,"33.61,-117.89",1024 Bayside Dr #538,Newport Beach,CA,92660,"The House republican incumbent won re-election by 16 points in 2016, but after Hillary Clinton carried the district by nearly 2% in the presidential election  CA-48 looks very competitive in 2018. The Republican incumbent is known for his strong pro-Trump, pro-Russia, and pro-Putin views. The Democratic challenger is a philanthropist, attorney, and tech entrepreneur.",California's 48th congressional district,https://www.sos.ca.gov/elections/polling-place/,https://en.wikipedia.org/wiki/California%27s_48th_congressional_district,"https://ballotpedia.org/California%27s_48th_Congressional_District_election,_2018",https://swingleft.org/district/CA-48
TX07,Texas,TX,07,"This district is located west and northwest of Houston, Texas.",29.74,-95.75,"29.74,-95.75",224 W Campbell Rd #203,Richardson,TX,75080,"In the 2016 election, the Republican candidate won TX-07 by 31,551 votes (12.3%). But the district is one of 25 Republican-held U.S. House districts that Hillary Clinton won in the 2016 presidential election. Clinton beat Trump by 1.4%. In August 2018 former Vice President Joe Biden endorsed the Democratic challenger, an attorney with a history of fighting for workers' and women's rights.",Texas's 7th congressional district,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,https://en.wikipedia.org/wiki/Texas%27s_7th_congressional_district,"https://ballotpedia.org/Texas%27_7th_Congressional_District_election,_2018",https://swingleft.org/district/TX-07
